City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kruisfontein,-34.0033,24.7314,18.27,78,96,7.95,ZA,1707517414
83,igarka,67.4667,86.5833,-16.15,89,99,5.46,RU,1707517414
84,sittwe,20.15,92.9,16.15,52,0,4.79,MM,1707517414
85,yevpatoriya,45.1972,33.3558,9.3,90,86,8.0,UA,1707517414
86,n'zeto,-7.2312,12.8666,27.82,81,96,3.48,AO,1707517415
87,san isidro de curuguaty,-24.5167,-55.7,26.27,78,100,3.37,PY,1707517415
88,zahir pir,28.8124,70.524,14.16,25,0,3.54,PK,1707517415
89,hawaiian paradise park,19.5933,-154.9731,24.93,78,100,4.63,US,1707517256
90,feicheng,35.2606,117.9675,0.46,87,0,1.97,CN,1707517415
91,badger,64.8,-147.5333,-5.16,78,100,0.0,US,1707516890
92,qaqortoq,60.7167,-46.0333,-10.99,65,100,3.59,GL,1707516920
93,sisimiut,66.9395,-53.6735,-16.18,90,100,4.41,GL,1707516977
94,illizi,26.4833,8.4667,14.89,13,34,2.32,DZ,1707517416
95,tosontsengel,48.7567,98.2839,-24.71,95,68,0.22,MN,1707517416
96,saipan,15.1355,145.701,27.39,69,40,7.2,MP,1707517272
97,isafjordur,66.0755,-23.124,-1.69,62,100,7.79,IS,1707516918
98,xinglongshan,43.9561,125.4661,-17.14,85,40,4.0,CN,1707517416
99,tambura,5.6,27.4667,25.84,29,32,1.31,SS,1707517417
100,arar,30.9753,41.0381,14.01,54,0,2.06,SA,1707517417
101,east london,-33.0153,27.9116,20.45,72,84,7.01,ZA,1707516849
102,seosan,36.7817,126.4522,0.32,67,2,0.93,KR,1707517417
103,puerto natales,-51.7236,-72.4875,15.94,60,51,3.26,CL,1707516892
104,fortuna,40.5982,-124.1573,12.74,70,100,5.14,US,1707517417
105,saurimo,-9.6608,20.3916,18.69,97,100,1.88,AO,1707517418
106,ciudad lazaro cardenas,17.9583,-102.2,27.89,54,0,4.87,MX,1707516958
107,as sulayyil,20.4607,45.5779,16.14,38,12,4.63,SA,1707517418
108,oriximina,-1.7656,-55.8661,30.32,59,76,1.62,BR,1707517418
109,velizh,55.6056,31.1967,-15.65,99,82,1.54,RU,1707517418
110,chinde,26.8418,88.0763,7.94,51,0,2.26,NP,1707517248
111,zhanaozen,43.3,52.8,6.82,77,8,2.16,KZ,1707517419
112,bredasdorp,-34.5322,20.0403,17.11,80,36,2.79,ZA,1707516904
113,tazacorte,28.629,-17.9293,21.54,98,40,3.6,ES,1707516979
114,queenstown,-31.8976,26.8753,16.51,84,75,1.66,ZA,1707517419
115,st. john's,47.5649,-52.7093,-1.29,95,100,7.2,CA,1707516898
116,mizdah,31.4451,12.9801,13.74,25,40,3.58,LY,1707517419
117,russas,-4.9403,-37.9758,27.78,74,90,4.17,BR,1707517322
118,tumayr,25.7039,45.868,16.8,34,100,6.73,SA,1707517420
119,port elizabeth,-33.918,25.5701,19.5,75,20,6.17,ZA,1707516894
120,kulp,38.4972,41.0122,6.68,84,100,2.23,TR,1707517420
121,tolanaro,-25.0319,46.9987,22.72,96,3,2.29,MG,1707516932
122,talakan,50.3167,130.3667,-26.56,100,100,1.13,RU,1707517420
123,jamestown,42.097,-79.2353,15.77,54,75,5.66,US,1707517032
124,ribeira grande,38.5167,-28.7,14.87,92,100,3.58,PT,1707516891
125,kralendijk,12.15,-68.2667,27.99,65,75,6.69,BQ,1707517298
126,yellowknife,62.456,-114.3525,-16.44,84,75,3.6,CA,1707516893
127,arraial do cabo,-22.9661,-42.0278,26.98,74,20,7.2,BR,1707517273
128,reggane,26.7158,0.1714,20.05,11,97,4.95,DZ,1707517421
129,kerikeri,-35.2268,173.9474,22.73,92,100,0.77,NZ,1707516943
130,tarawa,1.419,172.984,26.05,94,100,1.54,KI,1707517323
131,batie,9.8833,-2.9167,27.64,11,23,0.78,BF,1707517421
132,san patricio,28.017,-97.5169,25.09,62,100,6.1,US,1707517268
133,georgetown,5.4112,100.3354,26.96,65,20,2.57,MY,1707516750
134,cafayate,-26.073,-65.9761,23.48,72,49,3.32,AR,1707517422
135,chonchi,-42.6128,-73.8092,20.56,46,92,2.03,CL,1707516896
136,tual,-5.6667,132.75,28.41,82,73,6.71,ID,1707516964
137,bodaybo,57.8506,114.1933,-11.9,97,100,0.81,RU,1707516980
138,calingasta,-31.3308,-69.4078,29.68,34,1,4.05,AR,1707517422
139,kiruna,67.8557,20.2251,-23.49,84,20,1.54,SE,1707517423
140,pano aqil,27.8569,69.1116,11.94,19,0,0.23,PK,1707517423
141,cabo san lucas,22.8909,-109.9124,22.01,62,100,1.34,MX,1707516629
142,san antonio de pale,-1.4014,5.6325,28.21,76,67,2.04,GQ,1707516895
143,hechuan,29.9947,106.2572,5.27,70,74,0.97,CN,1707517423
144,xiazhen,34.8022,117.1117,0.25,83,0,2.5,CN,1707517423
145,machali,-34.1833,-70.6667,28.6,32,0,6.17,CL,1707517424
146,san julian,21.0167,-102.1667,26.07,8,54,5.94,MX,1707517424
147,whitehorse,60.7161,-135.0538,-7.77,83,75,13.89,CA,1707516918
148,nampa,43.5407,-116.5635,6.57,68,20,5.66,US,1707517424
149,dunda,-8.1167,34.25,19.32,93,100,1.7,TZ,1707517424
150,wailua homesteads,22.0669,-159.378,25.44,74,40,4.12,US,1707516918
151,bubaque,11.2833,-15.8333,26.48,78,0,7.51,GW,1707516978
152,ouadda,8.0777,22.4007,23.29,27,2,1.8,CF,1707517425
153,talitsy,56.5289,42.3344,-20.14,100,85,2.04,RU,1707517159
154,walvis bay,-22.9575,14.5053,18.53,77,100,0.51,NA,1707517306
155,kapa'a,22.0752,-159.319,26.18,73,40,4.12,US,1707516930
156,tanout,14.9709,8.8879,19.01,12,13,4.87,NE,1707517425
157,guaratuba,-25.8828,-48.5747,27.97,88,89,3.87,BR,1707517425
158,port augusta,-32.5,137.7667,24.02,35,0,4.24,AU,1707516984
159,kone,-21.0595,164.8658,28.28,69,38,2.12,NC,1707516963
160,olonkinbyen,70.9221,-8.7187,-3.01,63,9,5.07,SJ,1707516908
161,carnarvon,-24.8667,113.6333,26.33,67,0,6.86,AU,1707516963
162,pikalevo,59.5183,34.1664,-19.77,100,93,0.99,RU,1707517303
163,telica,12.522,-86.8594,31.64,26,0,1.95,NI,1707517426
164,parabel',58.6978,81.4825,-3.38,87,100,4.47,RU,1707517426
165,liberia,6.5,-9.5,24.47,91,64,1.85,LR,1707517365
166,ain beida,35.7964,7.3928,12.58,29,100,13.41,DZ,1707517427
167,cascais,38.6979,-9.4215,15.03,87,2,9.83,PT,1707516606
168,ola,59.5833,151.2833,-30.05,88,24,3.6,RU,1707517427
169,susuman,62.7833,148.1667,-38.34,100,100,0.89,RU,1707516921
170,ain leuh,33.2921,-5.3384,6.99,93,100,11.91,MA,1707517427
171,wanning,18.8003,110.3967,15.52,89,99,5.95,CN,1707517427
172,nova vicosa,-17.8919,-39.3719,23.96,87,25,3.56,BR,1707516929
173,afaahiti,-17.75,-149.2833,27.93,81,100,3.2,PF,1707517247
174,las veredas,23.1388,-109.7075,21.65,66,75,4.63,MX,1707517428
175,chuguyevka,44.1653,133.8633,-14.52,99,100,0.98,RU,1707517428
176,geraldton,-28.7667,114.6,23.23,23,0,1.54,AU,1707516980
177,hasaki,35.7333,140.8333,2.94,67,77,4.53,JP,1707516925
178,xining,36.6167,101.7667,-10.64,65,0,2.7,CN,1707517428
179,barcelos,41.5388,-8.6151,13.08,89,87,6.04,PT,1707517298
180,saudarkrokur,65.7461,-19.6394,-12.12,82,100,3.21,IS,1707517303
181,egilsstadir,65.2653,-14.3948,-10.05,85,100,0.51,IS,1707517256
182,palmer,42.1584,-72.3287,9.75,58,40,5.66,US,1707516946
183,gaspe,48.8334,-64.4819,-2.88,86,75,0.0,CA,1707517429
